
wavelengths[nm],amplitude_lambda,angularFrequency[G rad/s],amplitude
1078.6,0.012168629450044457,1210145311556197.8,0.055198227527769386
1078.7,-0.08529720557671953,1210257507487178.2,-0.07454488406170581
1078.8,-0.05478308209953384,1210369703418158.8,0.7834141838533091
1078.9,0.11825720081955153,1210481899349139.2,0.47787368236133404
1079.0,0.316780317972488,1210594095280119.8,0.9736011976737489
1079.1,0.7647657983787013,1210706291211100.5,0.7078181961500271
1079.2,0.9882895732117928,1210818487142081.0,1.2701389015308409
1079.3,1.0009914795728814,1210930683073061.5,1.2235394521473693
1079.4,1.2017791615251898,1211042879004042.0,0.5121653046653311
1079.5,0.9359045608988446,1211155074935022.5,0.7699516723373522
1079.6,0.6174563431577956,1211267270866003.0,0.42643748521155955
1079.7,0.31061602011232775,1211379466796983.8,0.2037602066395488
1079.8,0.06342129008069315,1211491662727964.2,-0.08298045343332378
1079.9,-0.09451018623152999,1211603858658944.8,0.09374692052783015
1080.0,-0.1228518664964829,1211716054589925.2,-0.006937591633333763
1080.1,0.035358819052370954,1211828250520905.8,1.0051061936113983
1080.2,0.3289059116603622,1211940446451886.5,0.2333256916810607
1080.3,0.636582043475503,1212052642382867.0,0.20069362600978893
1080.4,0.7183861894406274,1212164838313847.5,-0.023820595016949546
1080.5,1.0720339994745596,1212277034244828.0,-0.1290224400077067
1080.6,1.089699063950569,1212389230175808.5,1.0145067211929155
1080.7,0.961032936253283,1212501426106789.2,0.5449504295115427
1080.8,0.7300256837691189,1212613622037769.8,0.06997382925898982
1080.9,0.3958246601312895,1212725817968750.2,2.693540895359924
1081.0,0.19261512211764545,1212838013899730.8,0.39529122883936724
1081.1,-0.02034083476519312,1212950209830711.2,0.5387389722006146
1081.2,-0.10403228589773832,1213062405761692.0,0.2792406448535602
1081.3,-0.030820659416197844,1213174601692672.5,0.7577532536984004
1081.4,0.13174792446906475,1213286797623653.0,1.2001344176142077
1081.5,0.38062401319386135,1213398993554633.5,0.6979399897355321
1081.6,0.6420960864611577,1213511189485614.0,1.5327304580230758
1081.7,0.9694644443052128,1213623385416594.8,1.4601599425391172
1081.8,1.022206336655526,1213735581347575.2,0.970114590991601
1081.9,1.1078820517660797,1213847777278555.8,0.9073754026434045
1082.0,0.8965970300506657,1213959973209536.2,0.48657324131094754
1082.1,0.6933215592159063,1214072169140516.8,0.4007895566557464
1082.2,0.34201965577838533,1214184365071497.5,-0.0954107610388301
1082.3,0.1756689851755416,1214296561002478.0,0.31840643609754765
1082.4,-0.04367290521540197,1214408756933458.5,0.13842022841607146
1082.5,-0.10965909401591922,1214520952864439.0,-0.18475579425629252
1082.6,-0.0402229156811022,1214633148795419.5,-0.8963659720904661
1082.7,0.13419426074169813,1214745344726400.2,0.7330255841818368
1082.8,0.40017455486676085,1214857540657380.8,0.3725889395620541
1082.9,0.7868020929350433,1214969736588361.2,0.27965244226565567
1083.0,0.9082576060056795,1215081932519341.8,-0.15772811387599805
1083.1,1.1015883155822075,1215194128450322.2,1.1425257345018631
1083.2,1.0591211357133425,1215306324381303.0,0.6786706501196702
1083.3,0.8670109660144766,1215418520312283.5,1.2372217395001721
1083.4,0.7016288019551824,1215530716243264.0,0.33409572082340383
1083.5,0.40848654903563486,1215642912174244.5,0.5837852371090058
1083.6,0.18190296767017586,1215755108105225.0,1.1501437609102918
1083.7,-0.020796534324209567,1215867304036205.5,0.47239392666632635
